#GeneID	tax_id	Symbol	Synonyms	chromosome	type_of_gene	description
1	9606	A1BG	A1B|ABG|GAB|HYST2477	19	glycoprotein	alpha-1-B
7447	9606	VSNL1	HLP3|HPCAL3|HUVISL1|VILIP|VILIP-1	2	1	visinin-like
7448	9606	VTN	V75|VN|VNT	17	protein-coding	vitronectin
7450	9606	VWF	F8VWF|VWD	12	Willebrand	von
7451	9606	VWFP1	F8VWFL|F8VWFP|VWFP	22	Willebrand	von
7453	9606	WARS	GAMMA-2|IFI53|IFP53	14	synthetase	tryptophanyl-tRNA
7454	9606	WAS	IMD2|SCNX|THC|THC1|WASP|WASPA	X	syndrome	Wiskott-Aldrich
7455	9606	ZAN	-	7	(gene/pseudogene)	zonadhesin
7456	9606	WIPF1	PRPL-2|WAS2|WASPIP|WIP	2	interacting	WAS/WASL
7457	9606	WBS2	WBS|WS	4	syndrome	Williams-Beuren
7458	9606	EIF4H	WBSCR1|WSCR1|eIF-4H	7	translation	eukaryotic
7459	9606	WBSCR2	WSCR2	7	syndrome	Williams-Beuren
7461	9606	CLIP2	CLIP|CLIP-115|CYLN2|WBSCR3|WBSCR4|WSCR3|WSCR4	7	domain	CAP-GLY
7462	9606	LAT2	HSPC046|LAB|NTAL|WBSCR15|WBSCR5|WSCR5	7	for	linker
7464	9606	CORO2A	CLIPINB|IR10|WDR2	9	actin	coronin,
7465	9606	WEE1	WEE1A|WEE1hu	11	G2	WEE1
7466	9606	WFS1	CTRCT41|WFRS|WFS|WFSL	4	syndrome	Wolfram
7467	9606	WHCR	PRDS	4	syndrome	Wolf-Hirschhorn
7468	9606	WHSC1	MMSET|NSD2|REIIBP|TRX5|WHS	4	syndrome	Wolf-Hirschhorn
7469	9606	NELFA	NELF-A|P/OKcl.15|WHSC2	4	elongation	negative
7471	9606	WNT1	BMND16|INT1|OI15	12	MMTV	wingless-type
7472	9606	WNT2	INT1L1|IRP	7	MMTV	wingless-type
7473	9606	WNT3	INT4|TETAMS	17	MMTV	wingless-type
7474	9606	WNT5A	hWNT5A	3	MMTV	wingless-type
7475	9606	WNT6	-	2	MMTV	wingless-type
7476	9606	WNT7A	-	3	MMTV	wingless-type
7477	9606	WNT7B	-	22	MMTV	wingless-type
7478	9606	WNT8A	WNT8D	5	MMTV	wingless-type
7479	9606	WNT8B	-	10	MMTV	wingless-type
7480	9606	WNT10B	SHFM6|WNT-12	12	MMTV	wingless-type
7481	9606	WNT11	HWNT11	11	MMTV	wingless-type
7482	9606	WNT2B	WNT13	1	MMTV	wingless-type
7483	9606	WNT9A	WNT14	1	MMTV	wingless-type
7484	9606	WNT9B	WNT14B|WNT15	17	MMTV	wingless-type
7485	9606	WRB	CHD5	21	rich	tryptophan
7486	9606	WRN	RECQ3|RECQL2|RECQL3	8	syndrome,	Werner
7488	9606	WS2B	-	1	syndrome,	Waardenburg
7489	9606	WSN	BGMR	X	syndrome	Waisman
7490	9606	WT1	AWT1|EWS-WT1|GUD|NPHS4|WAGR|WIT-2|WT33	11	tumor	Wilms
7491	9606	WT2	ADCR|MTACR1	11	tumor	Wilms
7494	9606	XBP1	TREB-5|TREB5|XBP-1|XBP2	22	binding	X-box
7495	9606	XBP1P1	XBP|XBP1|XBPP1	5	binding	X-box
7497	9606	XCE	XCA|XITE	X	chromosome	X
7498	9606	XDH	XO|XOR	2	dehydrogenase	xanthine
7499	9606	XG	PBDX	X	blood	Xg
7500	9606	XGY1	XGPY|XGPY1	Y	pseudogene,	Xg
7501	9606	XGR	YG	X|Y	Yp11	and
7502	9606	XIC	SXI1|XCE|XIST	X	chromosome	X
7503	9606	XIST	DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66	X	inactive	X
7504	9606	XK	KX|MCLDS|NA|NAC|X1k|XKR1	X	Kx	X-linked
7506	9606	XM	-	X	antigen	Xm(a)
7507	9606	XPA	XP1|XPAC	9	pigmentosum,	xeroderma
7508	9606	XPC	RAD4|XP3|XPCC|p125	3	pigmentosum,	xeroderma
7511	9606	XPNPEP1	APP1|SAMP|XPNPEP|XPNPEPL|XPNPEPL1	10	aminopeptidase	X-prolyl
7512	9606	XPNPEP2	AEACEI|APP2	X	aminopeptidase	X-prolyl
7514	9606	XPO1	CRM1|emb|exp1	2	1	exportin
7515	9606	XRCC1	RCC	19	repair	X-ray
7516	9606	XRCC2	-	7	repair	X-ray
7517	9606	XRCC3	CMM6	14	repair	X-ray
7518	9606	XRCC4	-	5	repair	X-ray
7520	9606	XRCC5	KARP-1|KARP1|KU80|KUB2|Ku86|NFIV	2	repair	X-ray
7521	9606	XRCC8	-	-	repair	X-ray
7523	9606	XS	LUXS	X	suppressor	X-linked
7524	9606	XWNPEP	-	-	aminopeptidase	X-tryptophanyl
7525	9606	YES1	HsT441|P61-YES|Yes|c-yes	18	proto-oncogene	YES
7526	9606	YES1P1	D22S670|SYR|YES2|YESP	22	pseudogene	YES1
7528	9606	YY1	DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1	14	transcription	YY1
7529	9606	YWHAB	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	20	3-monooxygenase/tryptophan	tyrosine
7531	9606	YWHAE	14-3-3E|HEL2|KCIP-1|MDCR|MDS	17	3-monooxygenase/tryptophan	tyrosine
7532	9606	YWHAG	14-3-3GAMMA|PPP1R170	7	3-monooxygenase/tryptophan	tyrosine
7533	9606	YWHAH	YWHA1	22	3-monooxygenase/tryptophan	tyrosine
7534	9606	YWHAZ	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	8	3-monooxygenase/tryptophan	tyrosine
7535	9606	ZAP70	SRK|STCD|STD|TZK|ZAP-70	2	(TCR)	zeta-chain
7536	9606	SF1	BBP|D11S636|MBBP|ZCCHC25|ZFM1|ZNF162	11	factor	splicing
7538	9606	ZFP36	G0S24|GOS24|NUP475|RNF162A|TIS11|TTP|zfp-36	19	ring	ZFP36
7539	9606	ZFP37	ZNF906|zfp-37	9	zinc	ZFP37
7541	9606	ZBTB14	ZF5|ZFP-161|ZFP-5|ZFP161|ZNF478	18	finger	zinc
7542	9606	ZFPL1	D11S750|MCG4	11	finger	zinc
7543	9606	ZFX	ZNF926	X	finger	zinc
7544	9606	ZFY	ZNF911	Y	finger	zinc
7545	9606	ZIC1	ZIC|ZNF201	3	family	Zic
7546	9606	ZIC2	HPE5	13	family	Zic
7547	9606	ZIC3	HTX|HTX1|VACTERLX|ZNF203	X	family	Zic
7549	9606	ZNF2	A1-5|ZNF661|Zfp661	2	finger	zinc
7551	9606	ZNF3	A8-51|HF.12|KOX25|PP838|Zfp113	7	finger	zinc
7552	9606	ZNF711	CMPX1|MRX97|ZNF4|ZNF5|ZNF6|Zfp711|dJ75N13.1	X	finger	zinc
7553	9606	ZNF7	HF.16|KOX4|zf30	8	finger	zinc
7554	9606	ZNF8	HF.18|Zfp128	19	finger	zinc
7555	9606	CNBP	CNBP1|DM2|PROMM|RNF163|ZCCHC22|ZNF9	3	zinc	CCHC-type
7556	9606	ZNF10	KOX1	12	finger	zinc
7559	9606	ZNF12	GIOT-3|HZF11|KOX3|ZNF325	7	finger	zinc
7561	9606	ZNF14	GIOT-4|KOX6	19	finger	zinc
7562	9606	ZNF708	KOX8|ZNF15|ZNF15L1	19	finger	zinc
7564	9606	ZNF16	HZF1|KOX9	8	finger	zinc
7565	9606	ZNF17	HPF3|KOX10	19	finger	zinc
7566	9606	ZNF18	HDSG1|KOX11|ZKSCAN6|ZNF535|ZSCAN38|Zfp535	17	finger	zinc
7567	9606	ZNF19	KOX12	16	finger	zinc
7568	9606	ZNF20	KOX13	19	finger	zinc
7569	9606	ZNF182	HHZ150|KOX14|ZNF21|Zfp182	X	finger	zinc
7570	9606	ZNF22	HKR-T1|KOX15|ZNF422|Zfp422	10	finger	zinc
7571	9606	ZNF23	KOX16|ZNF359|ZNF612|Zfp612	16	finger	zinc
7572	9606	ZNF24	KOX17|RSG-A|ZNF191|ZSCAN3|Zfp191	18	finger	zinc
7574	9606	ZNF26	HEL-179|KOX20	12	finger	zinc
7576	9606	ZNF28	KOX24	19	finger	zinc
7577	9606	ZNF29P	KOX26|ZNF29	17	finger	zinc
7579	9606	ZSCAN20	KOX29|ZFP-31|ZNF31|ZNF360	1	finger	zinc
7580	9606	ZNF32	KOX30	10	finger	zinc
7581	9606	ZNF33A	KOX2|KOX31|KOX5|NF11A|ZNF11|ZNF11A|ZNF33|ZZAPK	10	finger	zinc
7582	9606	ZNF33B	KOX2|KOX31|ZNF11B	10	finger	zinc
7584	9606	ZNF35	HF.10|HF10|Zfp105	3	finger	zinc
7586	9606	ZKSCAN1	9130423L19Rik|KOX18|PHZ-37|ZNF139|ZNF36|ZSCAN33	7	finger	zinc
7587	9606	ZNF37A	KOX21|ZNF37	10	finger	zinc
7589	9606	ZSCAN21	NY-REN-21|ZNF38|Zipro1	7	finger	zinc
7592	9606	ZNF41	MRX89	X	finger	zinc
7593	9606	MZF1	MZF-1|MZF1B|ZFP98|ZNF42|ZSCAN6	19	zinc	myeloid
7594	9606	ZNF43	HTF6|KOX27|ZNF39L1	19	finger	zinc
7596	9606	ZNF45	KOX5|ZNF13	19	finger	zinc
7597	9606	ZBTB25	C14orf51|KUP|ZNF46	14	finger	zinc
7608	9606	ZNF56	ZNF742	19	finger	zinc
7617	9606	ZNF66	ZNF66P	19	finger	zinc
7618	9606	ZNF726P1	ZNF67|ZNF67P	19	finger	zinc
7620	9606	ZNF69	Cos5	19	finger	zinc
7621	9606	ZNF70	Cos17	22	finger	zinc
7624	9606	ZNF73	Cos12|ZNF186|hZNF2	22	finger	zinc
7625	9606	ZNF74	COS52|ZFP520|ZNF520|hZNF7	22	finger	zinc
7626	9606	ZNF75D	D8C6|ZKSCAN24|ZNF75|ZNF82|ZSCAN28	X	finger	zinc
7627	9606	ZNF75A	-	16	finger	zinc
7628	9606	ZNF75BP	ZNF75B	12	finger	zinc
7629	9606	ZNF76	D6S229E|ZNF523|Zfp523	6	finger	zinc
7633	9606	ZNF79	pT7	9	finger	zinc
7634	9606	ZNF80	pT17	3	finger	zinc
7637	9606	ZNF84	HPF2	12	finger	zinc
7638	9606	ZNF221	-	19	finger	zinc
7639	9606	ZNF85	HPF4|HTF1	19	finger	zinc
7643	9606	ZNF90	HTF9	19	finger	zinc
7644	9606	ZNF91	HPF7|HTF10	19	finger	zinc
7652	9606	ZNF99	C19orf9|F8281	19	finger	zinc
7661	9606	ZNF90P1	ZNF108|ZNF108P	3	finger	zinc
7673	9606	ZNF222	-	19	finger	zinc
7675	9606	ZNF121	D19S204|ZHC32|ZNF20	19	finger	zinc
7678	9606	ZNF124	HZF-16|HZF16|ZK7	1	finger	zinc
7681	9606	MKRN3	CPPB2|D15S9|RNF63|ZFP127|ZNF127	15	ring	makorin
7682	9606	MKRN4P	MKRN4|MKRNP5|RNF64|ZNF-Xp|ZNF127-Xp|ZNF127L1	X	ring	makorin
7683	9606	MKRN5P	MKRNP1|ZNF-Xq|ZNF127L2	X	ring	makorin
7686	9606	MKRN7P	MKRNP3|ZNF127L5|dJ981L23.2	20	ring	makorin
7690	9606	ZNF131	ZBTB35|pHZ-10	5	finger	zinc
7691	9606	ZNF132	pHZ-12	19	finger	zinc
7692	9606	ZNF133	ZNF150|pHZ-13|pHZ-66	20	finger	zinc
7693	9606	ZNF134	pHZ-15	19	finger	zinc
7694	9606	ZNF135	ZNF61|ZNF78L1|pHZ-17|pT3	19	finger	zinc
7695	9606	ZNF136	pHZ-20	19	finger	zinc
7696	9606	ZNF137P	ZNF137|pHZ-30	19	finger	zinc
7697	9606	ZNF138	pHZ-32	7	finger	zinc
7699	9606	ZNF140	pHZ-39	12	finger	zinc
7700	9606	ZNF141	D4S90|PAPA6|pHZ-44	4	finger	zinc
7701	9606	ZNF142	pHZ-49	2	finger	zinc
7702	9606	ZNF143	SBF|STAF|pHZ-1	11	finger	zinc
7703	9606	PCGF2	MEL-18|RNF110|ZNF144	17	group	polycomb
7704	9606	ZBTB16	PLZF|ZNF145	11	finger	zinc
7705	9606	ZNF146	OZF	19	finger	zinc
7706	9606	TRIM25	EFP|RNF147|Z147|ZNF147	17	motif	tripartite
7707	9606	ZNF148	BERF-1|BFCOL1|HT-BETA|ZBP-89|ZFP148|pHZ-52	3	finger	zinc
7709	9606	ZBTB17	MIZ-1|ZNF151|ZNF60|pHZ-67	1	finger	zinc
7710	9606	ZNF154	pHZ-92	19	finger	zinc
7711	9606	ZNF155	pHZ-96	19	finger	zinc
7712	9606	ZNF157	HZF22	X	finger	zinc
7716	9606	VEZF1	DB1|ZNF161	17	endothelial	vascular
7718	9606	ZNF165	CT53|LD65|ZSCAN7	6	finger	zinc
7726	9606	TRIM26	AFP|RNF95|ZNF173	6	motif	tripartite
7727	9606	ZNF174	ZSCAN8	16	finger	zinc
7728	9606	ZNF175	OTK18	19	finger	zinc
7730	9606	ZNF177	PIGX	19	finger	zinc
7732	9606	RNF112	BFP|ZNF179	17	finger	ring
7733	9606	ZNF180	HHZ168	19	finger	zinc
7737	9606	RNF113A	Cwc24|RNF113|ZNF183	X	finger	ring
7738	9606	ZNF184	-	6	finger	zinc
7739	9606	ZNF185	-	X	finger	zinc
7741	9606	ZSCAN26	SRE-ZBP|ZNF187	6	finger	zinc
7743	9606	ZNF189	-	9	finger	zinc
7745	9606	ZKSCAN8	LD5-1|ZNF192|ZSCAN40	6	finger	zinc
7746	9606	ZSCAN9	PRD51|ZNF193	6	finger	zinc
7748	9606	ZNF195	HRF1|ZNFP104	11	finger	zinc
7750	9606	ZMYM2	FIM|MYM|RAMP|SCLL|ZNF198	13	finger,	zinc
7752	9606	ZNF200	-	16	finger	zinc
7753	9606	ZNF202	ZKSCAN10|ZSCAN42	11	finger	zinc
7754	9606	ZNF204P	ZNF184-Lp|ZNF204|ZNF315P|b24o18.1	6	finger	zinc
7755	9606	ZNF205	RhitH|ZNF210|Zfp13	16	finger	zinc
7756	9606	ZNF207	BuGZ	17	finger	zinc
7757	9606	ZNF208	PMIDP|ZNF95	19	finger	zinc
7760	9606	ZNF213	CR53|ZKSCAN21|ZSCAN53	16	finger	zinc
7761	9606	ZNF214	BAZ-1|BAZ1	11	finger	zinc
7762	9606	ZNF215	BAZ-2|BAZ2|ZKSCAN11|ZSCAN43	11	finger	zinc
7763	9606	ZFAND5	ZA20D2|ZFAND5A|ZNF216	9	finger,	zinc
7764	9606	ZNF217	ZABC1	20	finger	zinc
7766	9606	ZNF223	-	19	finger	zinc
7767	9606	ZNF224	BMZF-2|BMZF2|KOX22|ZNF255|ZNF27	19	finger	zinc
7768	9606	ZNF225	-	19	finger	zinc
7769	9606	ZNF226	-	19	finger	zinc
7770	9606	ZNF227	-	19	finger	zinc
7771	9606	ZNF112	ZFP112|ZNF228	19	finger	zinc
7772	9606	ZNF229	-	19	finger	zinc
7773	9606	ZNF230	FDZF2	19	finger	zinc
7775	9606	ZNF232	ZSCAN11	17	finger	zinc
7776	9606	ZNF236	ZNF236A|ZNF236B	18	finger	zinc
7779	9606	SLC30A1	ZNT1|ZRC1	1	carrier	solute
7780	9606	SLC30A2	PP12488|TNZD|ZNT2|ZnT-2	1	carrier	solute
7781	9606	SLC30A3	ZNT3	2	carrier	solute
7782	9606	SLC30A4	ZNT4	15	carrier	solute
7783	9606	ZP2	ZPA|Zp-2	16	pellucida	zona
7784	9606	ZP3	ZP3A|ZP3B|ZPC|Zp-3	7	pellucida	zona
7786	9606	MAP3K12	DLK|MEKK12|MUK|ZPK|ZPKP1	12	protein	mitogen-activated
7789	9606	ZXDA	ZNF896	X	finger,	zinc
7791	9606	ZYX	ESP-2|HED-2	7	protein-coding	zyxin
7792	9606	CCV	CTRCT8	1	congenital,	cataract,
7795	9606	MEMO1	-	1	modifier	Methylation
7798	9606	LUZP1	LUZP	1	zipper	leucine
7799	9606	PRDM2	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	1	domain	PR
7802	9606	DNALI1	P28|dJ423B22.5|hp28	1	axonemal,	dynein,
7803	9606	PTP4A1	HH72|PRL-1|PRL1|PTP(CAAX1)|PTPCAAX1	6	tyrosine	protein
7804	9606	LRP8	APOER2|HSZ75190|LRP-8|MCI1	1	density	low
7805	9606	LAPTM5	CLAST6	1	protein	lysosomal
7808	9606	AIR	-	1	insulin	Acute
7809	9606	BSND	BART|DFNB73	1	CLCNK-type	barttin
7812	9606	CSDE1	D1S155E|UNR	1	shock	cold
7813	9606	EVI5	EVI-5|NB4S	1	viral	ecotropic
7818	9606	DAP3	DAP-3|MRP-S29|MRPS29|bMRP-10	1	associated	death
7824	9606	D1S111	D1S61|MS336	1	33.6	Minisatellite
7827	9606	NPHS2	PDCN|SRN1	1	2,	nephrosis
7830	9606	PHA2A	PHA2	1	type	Pseudohypoaldosteronism
7832	9606	BTG2	PC3|TIS21	1	family,	BTG
7834	9606	PCAP	HPC2|HPC8	1	for	predisposing
7837	9606	PXDN	COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	2	protein-coding	peroxidasin
7839	9606	LEPQTL1	LSL	2	serum	Leptin,
7840	9606	ALMS1	ALSS	2	syndrome	Alstrom
7841	9606	MOGS	CDG2B|CWH41|DER7|GCS1	2	glucosidase	mannosyl-oligosaccharide
7842	9606	IGKJ@	IGKJ	2	kappa	immunoglobulin
7844	9606	RNF103	HKF-1|KF-1|KF1|ZFP-103|ZFP103	2	finger	ring
7845	9606	PAFAH1B1P1	LIS2|PAFAH1P1	2	factor	platelet-activating
7846	9606	TUBA1A	B-ALPHA-1|LIS3|TUBA3	12	alpha	tubulin,
7849	9606	PAX8	-	2	box	paired
7850	9606	IL1R2	CD121b|CDw121b|IL-1R-2|IL-1RT-2|IL-1RT2|IL1R2c|IL1RB	2	1	interleukin
7851	9606	MALL	BENE	2	T-cell	mal,
7852	9606	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS	2	(C-X-C	chemokine
7855	9606	FZD5	C2orf31|HFZ5	2	class	frizzled
7857	9606	SCG2	CHGC|EM66|SN|SgII	2	II	secretogranin
7862	9606	BRPF1	BR140	3	and	bromodomain
7864	9606	SCLC1	SCCL|SCLC	3	cell	small
7866	9606	IFRD2	IFNRP|SKMc15|SM15	3	developmental	interferon-related
7867	9606	MAPKAPK3	3PK|MAPKAP-K3|MAPKAP3|MAPKAPK-3|MK-3	3	protein	mitogen-activated
7869	9606	SEMA3B	LUCA-1|SEMA5|SEMAA|SemA|semaV	3	domain,	sema
7870	9606	TRR	-	3	RNA	transfer
7871	9606	SLMAP	SLAP	3	associated	sarcolemma
7873	9606	MANF	ARMET|ARP	3	astrocyte-derived	mesencephalic
7874	9606	USP7	HAUSP|TEF1	16	specific	ubiquitin
7879	9606	RAB7A	PRO2706|RAB7	3	member	RAB7A,
7880	9606	MBS2	HCFP1	3	syndrome	Moebius
7881	9606	KCNAB1	AKR6A3|KCNA1B|KV-BETA-1|Kvb1.3|hKvBeta3|hKvb3	3	channel,	potassium
7884	9606	SLBP	HBP	4	binding	stem-loop
7885	9606	CRSA	CRS3	4	Adelaide	Craniosynostosis,
7889	9606	PSORS3	-	4	susceptibility	psoriasis
7892	9606	FECB	-	4	gene,	Fecundity
7895	9606	LAG5	-	4	antigen	Leukocyte
7896	9606	TS13	-	4	sensitivity	Temperature
7897	9606	ZNF4	-	5	finger	zinc
7900	9606	ZNF5	-	5	finger	zinc
7903	9606	ST8SIA4	PST|PST1|SIAT8D|ST8SIA-IV	5	alpha-N-acetyl-neuraminide	ST8
7905	9606	REEP5	C5orf18|D5S346|DP1|TB2|YOP1	5	accessory	receptor
7908	9606	EOS	-	5	familial	eosinophilia,
7909	9606	HEMC	HCI	-	capillary,	hemangioma,
7910	9606	PFBI	-	5	falciparum	Plasmodium
7911	9606	SM1	-	5	mansoni,	Schistosoma
7913	9606	DEK	D6S231E	6	proto-oncogene	DEK
7915	9606	ALDH5A1	SSADH|SSDH	6	dehydrogenase	aldehyde
7916	9606	PRRC2A	BAT2|D6S51|D6S51E|G2	6	coiled-coil	proline-rich
7917	9606	BAG6	BAG-6|BAT3|D6S52E|G3	6	athanogene	BCL2-associated
7918	9606	GPANK1	ANKRD59|BAT4|D6S54E|G5|GPATCH10	6	patch	G
7919	9606	DDX39B	BAT1|D6S81E|UAP56	6	(Asp-Glu-Ala-Asp)	DEAD
7920	9606	ABHD16A	BAT5|D6S82E|NG26|PP199	6	domain	abhydrolase
7921	9606	D6S207E	HLA-HA2	6	histocompatibility	Minor
7922	9606	SLC39A7	D6S115E|D6S2244E|H2-KE4|HKE4|KE4|RING5|ZIP7	6	carrier	solute
7923	9606	HSD17B8	D6S2245E|FABG|FABGL|H2-KE6|HKE6|KE6|RING2|SDR30C1|dJ1033B10.9	6	(17-beta)	hydroxysteroid
7925	9606	IGLP1	-	6	response	immune
7926	9606	IGLP2	-	6	response	immune
7927	9606	IGAT	-	6	response	Immune
7928	9606	ISCW	ISSCW	6	suppression	Immune
7932	9606	OR2H2	FAT11|OLFR2|OLFR42B|OR2H3|dJ271M21.2|hs6M1-12	6	receptor,	olfactory
7933	9606	OPLL	-	-	of	ossification
7936	9606	NELFE	D6S45|NELF-E|RD|RDBP|RDP	6	elongation	negative
7937	9606	RWS	-	6	sensitivity	Ragweed
7938	9606	CP20	LCP20	6	cytosolic	Lymphocyte
7939	9606	LAP	-	6	adductor	Laryngeal
7940	9606	LST1	B144|D6S49E|LST-1	6	specific	leukocyte
7941	9606	PLA2G7	LDL-PLA2|LP-PLA2|PAFAD|PAFAH	6	A2,	phospholipase
7942	9606	TFEB	ALPHATFEB|BHLHE35|TCFEB	6	factor	transcription
7944	9606	CSCI	-	6	side-chain	Corticosterone
7945	9606	PUJO	-	6	junction	pelviureteric
7948	9606	PBCRA1	CRAPB|PBCRA	6	bifocal	progressive
7951	9606	BKMA1	-	6	krait	Banded
7952	9606	TNDM	DMTN|TNDM1	6	mellitus,	diabetes
7954	9606	HBFQTL2	FCP|HPFH	6	persistence	hereditary
7955	9606	RNF217-AS1	STL	6	antisense	RNF217
7956	9606	NTT	-	6	transcript	Noncoding
7957	9606	EPM2A	EPM2|MELF	6	progressive	epilepsy,
7959	9606	FEA	-	6	embryonic	F9
7960	9606	MRBC	-	6	RBC	Monkey
7962	9606	PBCA	-	6	beta	Pancreatic
7963	9606	TS546	-	6	sensitivity	Temperature
7965	9606	AIMP2	JTV-1|JTV1|P38|PRO0992	7	tRNA	aminoacyl
7971	9606	GHS	-	-	syndrome	Goldenhar
7974	9606	HRX	-	7	unknown	Hyperreflexia
7975	9606	MAFK	NFE2U|P18	7	avian	v-maf
7976	9606	FZD3	Fz-3	8	class	frizzled
7977	9606	MHS3	-	7	hyperthermia	Malignant
7978	9606	MTERF1	MTERF	7	transcription	mitochondrial
7979	9606	SHFM1	DSS1|ECD|SEM1|SHFD1|SHSF1|Shfdg1	7	hand/foot	split
7980	9606	TFPI2	PP5|REF1|TFPI-2	7	factor	tissue
7982	9606	ST7	ETS7q|FAM4A|FAM4A1|HELG|RAY1|SEN4|TSG7	7	of	suppression
7984	9606	ARHGEF5	GEF5|P60|TIM|TIM1	7	guanine	Rho
7986	9606	GPDS1	PDS1	7	pigment	glaucoma-related
7988	9606	ZNF212	C2H2-150|ZNF182|ZNFC150	7	finger	zinc
7990	9606	CRS1C	-	8	sequence-1C	Cryptidin-related
7991	9606	TUSC3	D8S1992|M33|MRT22|MRT7|N33|OST3A	8	suppressor	tumor
7993	9606	UBXN8	D8S2298E|REP8|UBXD6	8	domain	UBX
7994	9606	KAT6A	MOZ|MRD32|MYST-3|MYST3|RUNXBP2|ZC2HC6A|ZNF220	8	acetyltransferase	K(lysine)
8000	9606	PSCA	PRO232	8	stem	prostate
8001	9606	GLRA3	-	4	receptor,	glycine
8009	9606	LALL	-	9	acute	Lymphomatous
8011	9606	MROS	MRS	9	syndrome	Melkersson-Rosenthal
8013	9606	NR4A3	CHN|CSMF|MINOR|NOR1|TEC	9	receptor	nuclear
8019	9606	BRD3	ORFX|RING3L	9	containing	bromodomain
8021	9606	NUP214	CAIN|CAN|D9S46E|N214|p250	9	214kDa	nucleoporin
8022	9606	LHX3	CPHD3|LIM3|M2-LHX3	9	homeobox	LIM
8023	9606	H142T	-	9	sensitivity	Temperature
8024	9606	RDPA	-	-	disease,	refsum
8026	9606	DGS2	DGCR2	10	syndrome/velocardiofacial	DiGeorge
8027	9606	STAM	STAM-1|STAM1	10	transducing	signal
8028	9606	MLLT10	AF10	10	or	myeloid/lymphoid
8029	9606	CUBN	IFCR|MGA1|gp280	10	(intrinsic	cubilin
8030	9606	CCDC6	D10S170|H4|PTC|TPC|TST1	10	domain	coiled-coil
8031	9606	NCOA4	ARA70|ELE1|PTC3|RFG	10	receptor	nuclear
8034	9606	SLC25A16	D10S105E|GDA|GDC|HGT.1|ML7|hML7	10	carrier	solute
8036	9606	SHOC2	SIAA0862|SOC2|SUR8	10	suppressor	soc-2
8038	9606	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	10	metallopeptidase	ADAM
8039	9606	PROA	-	-	auxotroph,	Proline(-)
8041	9606	TP250	-	11	activation	T-cell
8045	9606	RASSF7	C11orf13|HRAS1|HRC1	11	association	Ras
8048	9606	CSRP3	CLP|CMD1M|CMH12|CRP3|LMO4|MLP	11	and	cysteine
8050	9606	PDHX	DLDBP|E3BP|OPDX|PDX1|proX	11	dehydrogenase	pyruvate
8056	9606	ECB2	FBP	11	autosomal	erythrocytosis,
8060	9606	FNL2	-	11	unknown	Fibronectin-like-2
8061	9606	FOSL1	FRA|FRA1|fra-1	11	antigen	FOS-like
8065	9606	CUL5	VACM-1|VACM1	11	5	cullin
8066	9606	ANC	-	11	canal	Anal
8068	9606	BRCATA	-	11	cancer,	Breast
8073	9606	PTP4A2	HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b	1	tyrosine	protein
8074	9606	FGF23	ADHR|FGFN|HPDR2|HYPF|PHPTC	12	growth	fibroblast
8075	9606	PCS	-	12	proline-rich	Parotid
8076	9606	MFAP5	AAT9|MAGP-2|MAGP2|MFAP-5|MP25	12	associated	microfibrillar
8078	9606	USP5	ISOT	12	specific	ubiquitin
8079	9606	MLF2	NTN4	12	leukemia	myeloid
8080	9606	HTNB	-	12	with	hypertension
8081	9606	AD5	-	12	disease	Alzheimer
8082	9606	SSPN	DAGA5|KRAG|NSPN|SPN1|SPN2	12	protein-coding	sarcospan
8083	9606	KAR	-	12	alpha-keto	Aromatic
8085	9606	KMT2D	AAD10|ALR|CAGL114|KABUK1|KMS|MLL2|MLL4|TNRC21	12	(K)-specific	lysine
8086	9606	AAAS	AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003	12	adrenocortical	achalasia,
8087	9606	FXR1	FXR1P	3	X	fragile
8089	9606	YEATS4	4930573H17Rik|B230215M10Rik|GAS41|NUBI-1|YAF9	12	domain	YEATS
8090	9606	SPPM	SPMD	12	syndrome,	scapuloperoneal
8091	9606	HMGA2	BABL|HMGI-C|HMGIC|LIPO|STQTL9	12	mobility	high
8092	9606	ALX1	CART1|FND3|HEL23	12	homeobox	ALX
8093	9606	MGCT	-	12	germ	male
8094	9606	SMAL	-	-	muscular	spinal
8099	9606	CDK2AP1	DOC1|DORC1|ST19|doc-1|p12DOC-1	12	kinase	cyclin-dependent
8100	9606	IFT88	D13S1056E|DAF19|TG737|TTC10|hTg737	13	transport	intraflagellar
8101	9606	CLLS2	D13S25|DBM	13	in	Disrupted
8102	9606	XRS	-	13	sensitivity	X-ray
